Market,City,y15,y14,y10,y05,y03,,t1yr,t5yr,t10yr,t12yr,,Current,ShortTerm,MidTerm,LongTerm
11660,"Arkadelphia, AR",-1.22,-1.12,-1.3,-1.34,-1.1,,-0.09,0.08,0.12,-0.12,,-1.99,-0.57,-1.04,-1.65
11700,"Asheville, NC",1.11,1.04,1.1,1.27,1.28,,0.07,0,-0.17,-0.17,,1.63,1.12,0.69,0.82
11740,"Ashland, OH",-0.58,-0.59,-0.63,-0.79,-1.04,,0.01,0.06,0.21,0.47,,-0.47,-0.19,-0.16,0.35
11780,"Ashtabula, OH",-0.21,-0.3,-0.39,-0.31,-0.26,,0.09,0.18,0.11,0.05,,0.51,0.86,-0.16,-0.21
11820,"Astoria, OR",-0.27,-0.2,-0.21,-0.4,-0.5,,-0.07,-0.06,0.13,0.23,,-0.88,-0.51,0.06,0.14
11860,"Atchison, KS",-1.17,-1.16,-1.21,-1.19,-0.96,,-0.01,0.04,0.02,-0.21,,-1.26,-0.87,-1.18,-1.73
11900,"Athens, OH",-0.73,-0.54,-0.43,-0.87,-0.61,,-0.18,-0.3,0.14,-0.12,,-2.23,-2.3,-0.13,-1.2
11940,"Athens, TN",-0.79,-0.87,-0.83,-0.92,-0.92,,0.08,0.03,0.13,0.13,,-0.17,-0.59,-0.55,-0.63
11980,"Athens, TX",-0.57,-0.7,-0.46,-0.59,-0.4,,0.13,-0.11,0.02,-0.17,,0.45,-1.28,-0.44,-1.04
12020,"Athens-Clarke County, GA",0.4,0.33,0.55,0.83,1.21,,0.07,-0.15,-0.43,-0.81,,0.98,-0.53,-0.47,-1.22
12060,"Atlanta-Sandy Springs-Roswell, GA",3.08,3.08,3.12,2.58,2.41,,0,-0.05,0.5,0.66,,3.05,2.86,4.26,4.21
12060,"Atlanta-Sandy Springs-Marietta, GA",3.08,3.08,3.12,2.58,2.41,,0,-0.05,0.5,0.66,,3.05,2.86,4.26,4.21
12100,"Atlantic City-Hammonton, NJ",0.58,0.74,0.69,0.91,0.93,,-0.17,-0.11,-0.33,-0.36,,-0.77,0.12,-0.12,0
12100,"Atlantic City, NJ",0.58,0.74,0.69,0.91,0.93,,-0.17,-0.11,-0.33,-0.36,,-0.77,0.12,-0.12,0
12140,"Auburn, IN",-0.44,-0.65,-0.44,-0.56,-0.6,,0.21,0,0.11,0.16,,1.25,-0.58,-0.2,-0.18
12180,"Auburn, NY",-0.52,-0.48,-0.48,-0.6,-0.61,,-0.04,-0.05,0.07,0.08,,-0.88,-0.7,-0.33,-0.41
12220,"Auburn-Opelika, AL",0.12,0.1,-0.02,-0.01,-0.28,,0.03,0.14,0.14,0.41,,0.33,1.03,0.27,0.98
