Market,City,y15,y14,y10,y05,t1yr,t5yr,t10yr
26980,"Iowa City, IA",0.116087612,0.121299142,0.202581455,0.278436682,0.110876081,0.029593768,-0.046261459
27020,"Iron Mountain, MI-WI",-0.707995052,-0.779837017,-0.73809838,-0.594524959,-0.636153087,-0.677891725,-0.821465145
27060,"Ithaca, NY",0.346617782,0.346882985,0.279981329,0.252257124,0.346352579,0.413254235,0.440978441
27100,"Jackson, MI",0.429471295,0.348706626,0.347024166,0.333513162,0.510235963,0.511918423,0.525429427
27140,"Jackson, MS",1.167159265,1.28194175,1.3942494,1.417769023,1.05237678,0.94006913,0.916549507
27160,"Jackson, OH",-1.1139233,-1.0894528,#N/A,#N/A,-1.138393801,#N/A,#N/A
27180,"Jackson, TN",0.063875084,0.087671188,0.131755338,0.681949881,0.040078979,-0.004005171,-0.554199714
27220,"Jackson, WY-ID",0.581903999,0.512888303,0.275327839,-0.107992057,0.650919695,0.888480159,1.271800055
27260,"Jacksonville, FL",1.703483748,1.765511969,1.759330649,1.890127721,1.641455527,1.647636847,1.516839775
27300,"Jacksonville, IL",-0.983076742,-0.844028213,-0.992763438,-0.647251115,-1.12212527,-0.973390046,-1.318902369
27340,"Jacksonville, NC",0.062445542,-0.067537802,-0.015152213,-0.281659902,0.192428886,0.140043297,0.406550986
27380,"Jacksonville, TX",-0.562040905,-0.667432414,-0.552964453,-0.70033899,-0.456649396,-0.571117356,-0.423742819
27420,"Jamestown, ND",-0.821309726,-1.014613488,-0.529717438,-0.880764287,-0.628005965,-1.112902014,-0.761855166
27460,"Jamestown-Dunkirk-Fredonia, NY",0.089911541,0.170678554,0.122980852,0.105094934,0.009144528,0.05684223,0.074728148
27500,"Janesville-Beloit, WI",0.163681215,0.367629662,0.203283401,0.152243398,-0.040267232,0.124079029,0.175119033
27540,"Jasper, IN",-0.393937991,-0.301628592,-0.365491956,0.191537492,-0.48624739,-0.422384026,-0.979413473
27600,"Jefferson, GA",-0.242298895,0.021699662,#N/A,#N/A,-0.506297453,#N/A,#N/A
27620,"Jefferson City, MO",0.182152237,0.051354559,0.157915796,1.046333641,0.312949914,0.206388677,-0.682029168
27660,"Jennings, LA",#N/A,#N/A,-1.144670105,-0.890420155,#N/A,#N/A,#N/A
27700,"Jesup, GA",-1.155464312,-1.054853133,-1.187656389,-1.252619658,-1.256075492,-1.123272235,-1.058308967
27740,"Johnson City, TN",0.278520708,0.210667812,0.23865872,0.719026003,0.346373605,0.318382697,-0.161984587
27780,"Johnstown, PA",0.118799668,0.060298379,0.127622641,0.046007802,0.177300958,0.109976696,0.191591535
27860,"Jonesboro, AR",0.02981052,0.105314008,0.140415254,0.312135497,-0.045692968,-0.080794214,-0.252514457
27900,"Joplin, MO",0.270058301,0.534414791,0.45281113,0.174522491,0.005701812,0.087305472,0.365594111
27920,"Junction City, KS",-0.722153845,-1.008074022,#N/A,#N/A,-0.436233668,#N/A,#N/A
27940,"Juneau, AK",0.135936611,0.120656937,-0.010165052,-0.378286843,0.151216285,0.282038274,0.650160065
27980,"Kahului-Wailuku-Lahaina, HI",1.02448659,1.021679916,1.109724836,0.502231103,1.027293265,0.939248345,1.546742078
28020,"Kalamazoo-Portage, MI",1.078131346,1.210931224,1.132502203,0.80141523,0.945331467,1.023760488,1.354847462
28060,"Kalispell, MT",0.412912602,0.296503556,0.352112746,0.133547714,0.529321649,0.473712459,0.692277491
28100,"Kankakee, IL",-0.221098932,-0.161521931,-0.088952265,0.03231124,-0.280675934,-0.3532456,-0.474509105
28140,"Kansas City, MO-KS",2.531722706,2.451799694,2.473303969,2.214949605,2.611645718,2.590141442,2.848495806
28180,"Kapaa, HI",0.540266861,0.525538985,0.32303784,0.081201311,0.554994737,0.757495881,0.999332411
28260,"Kearney, NE",-0.396963607,-0.507635097,-0.394586997,-0.485583562,-0.286292117,-0.399340217,-0.308343652
28300,"Keene, NH",-0.004524627,-0.043898709,-0.031039474,-0.403935842,0.034849455,0.021990219,0.394886587
28340,"Kendallville, IN",-0.86494425,-0.812944506,-0.780985012,-0.673054261,-0.916943993,-0.948903488,-1.056834238
28380,"Kennett, MO",-1.088326076,-1.137407014,-0.995215506,-1.050492982,-1.039245137,-1.181436645,-1.126159169
28420,"Kennewick-Richland, WA",0.409847564,0.562966158,0.416137889,0.059960159,0.25672897,0.40355724,0.759734969
28460,"Keokuk-Fort Madison, IA-MO",#N/A,#N/A,#N/A,-0.266313164,#N/A,#N/A,#N/A
28500,"Kerrville, TX",-0.419629435,-0.378938465,-0.285034545,-0.240260588,-0.460320405,-0.554224326,-0.598998282
28540,"Ketchikan, AK",-0.039906088,-0.654978318,-0.528335792,-0.336353174,0.575166142,0.448523616,0.256540998
28580,"Key West, FL",0.817688605,0.755812217,0.600721425,0.440438386,0.879564994,1.034655786,1.194938825
28620,"Kill Devil Hills, NC",0.014968019,-0.170133759,-0.107633338,-0.157058983,0.200069796,0.137569375,0.18699502
28660,"Killeen-Temple, TX",0.367870866,0.477528516,0.549505012,1.280041826,0.258213217,0.186236721,-0.544300093
28700,"Kingsport-Bristol-Bristol, TN-VA",0.60894287,0.60209524,0.656410152,0.548496365,0.615790499,0.561475587,0.669389374
28740,"Kingston, NY",0.723749109,0.777501844,0.81636499,0.49759347,0.669996374,0.631133229,0.949904748
28780,"Kingsville, TX",-0.995425489,-1.022078183,-0.833142395,-1.065271477,-0.968772795,-1.157708583,-0.925579501
28820,"Kinston, NC",-0.778701545,-0.851350506,-0.403480637,-0.490817484,-0.706052583,-1.153922452,-1.066585605
28860,"Kirksville, MO",-0.926984156,-0.862379876,-0.893597809,-0.395030548,-0.991588436,-0.960370503,-1.458937763
28900,"Klamath Falls, OR",-0.499250402,-0.437340109,-0.337987057,-0.46604365,-0.561160695,-0.660513747,-0.532457154
28940,"Knoxville, TN",1.400835309,1.578517143,1.552671604,1.782305888,1.223153474,1.248999013,1.019364729
28980,"Kodiak, AK",#N/A,#N/A,0.007287765,-0.180042997,#N/A,#N/A,#N/A
29020,"Kokomo, IN",-0.354241842,-0.292229428,-0.22252636,0.080701778,-0.416254256,-0.485957325,-0.789185462
29060,"Laconia, NH",-0.017707394,0.008639145,-0.088105671,-0.350096122,-0.044053932,0.052690884,0.314681335
