key,category,code,msaEmp,msaRa,msaFra
Direct Life Insurance Carriers,Finance and Insurance,524113,111,1.095541,1.095541
"General Freight Trucking, Local",Transportation and Warehousing,484110,73,1.0810417,1.0810417
Other Chemical and Allied Products Merchant Wholesalers,Wholesale Trade,424610,11,1.0356138,1.0356138
Furniture Stores,Retail Trade,442110,79,1.034481,1.034481
Other Specialized Design Services,"Professional, Scientific, and Technical Services",541940,133,1.0340205,1.0340205
Full-Service Restaurants,Accommodation and Food Services,722511,2153,1.0273426,1.0273426
Water and Sewer Line and Related Structures Construction,Construction,237110,54,1.0203294,1.0203294
Jewelry Stores,Retail Trade,448310,50,1.0101742,1.0101742
Diagnostic Imaging Centers,Health Care and Social Assistance,621512,27,0.93389499,0.93389499
Offices of Dentists,Health Care and Social Assistance,621210,341,0.92093366,0.92093366
"Highway, Street, and Bridge Construction",Construction,237310,83,0.91712379,0.91712379
Other Direct Selling Establishments,Retail Trade,454390,33,0.91280735,0.91280735
Golf Courses and Country Clubs,"Arts, Entertainment, and Recreation",713910,103,0.89652997,0.89652997
Commercial and Institutional Building Construction,Construction,236220,171,0.86067605,0.86067605
Other Accounting Services,"Professional, Scientific, and Technical Services",541219,70,0.85482824,0.85482824
Insurance Agencies and Brokerages,Finance and Insurance,524210,224,0.85217214,0.85217214
Machine Shops,Manufacturing,332710,76,0.82084733,0.82084733
Lessors of Nonresidential Buildings (excpet Miniwarehouses),Real Estate and Rental and Leasing,531120,53,0.81134665,0.81134665
"Gift, Novelty, and Souvenir Stores",Retail Trade,453220,50,0.80823278,0.80823278
Electrical Contractors and Other Wiring Installation Contractors,Construction,238210,235,0.78554004,0.78554004
Museums,"Arts, Entertainment, and Recreation",712110,26,0.76882195,0.76882195
Commercial Printing (except Screen and Books),Manufacturing,323111,97,0.76139683,0.76139683
Supermarkets and Other Grocery (except Convenience) Stores,Retail Trade,445110,710,0.75817883,0.75817883
Hotels (except Casino Hotels) and Motels,Accommodation and Food Services,721110,453,0.75296479,0.75296479
Landscaping Services,Administrative and Suppost and Waste Management and Remediation Services,561730,172,0.75044364,0.75044364
Painting and Wall Covering Contractors,Construction,238320,47,0.73752207,0
Other Building Finishing Contractors,Construction,238990,60,0.7150135,0
Lessors of Residential Buildings and Dwellings,Real Estate and Rental and Leasing,531110,90,0.68799752,0
Offices of Lawyers,"Professional, Scientific, and Technical Services",541110,305,0.68387753,0
New Car Dealers,Retail Trade,441110,293,0.68385863,0
Fine Arts Schools,Educational Services,611610,23,0.66773134,0
Other Heavy and Civil Engineering Construction,Construction,237990,12,0.63087785,0
"Plumbing, Heating, and Air-Conditioning Contractors",Construction,238220,226,0.62594157,0
Lessors of Miniwarehouses and Self-Storage Units,Real Estate and Rental and Leasing,531130,8,0.62310529,0
"Corporate, Subsidiary, and Regional Managing Offices",Management of Companies and Entreprises,551114,758,0.60920799,0
Beauty Salons,Other Services,812112,108,0.6068781,0
Wired Telecommunications Carriers,Information,517110,161,0.60339022,0
Business Associations,Other Services,813910,25,0.60022569,0
Real Estate Credit,Finance and Insurance,522292,52,0.58808935,0
Other Individual and Family Services,Health Care and Social Assistance,624190,86,0.58134371,0
Janitorial Services,Administrative and Suppost and Waste Management and Remediation Services,561720,216,0.54608309,0
Other Grocery and Related Products Merchant Wholesalers,Wholesale Trade,424490,55,0.53353971,0
Home Health Care Services,Health Care and Social Assistance,621610,277,0.52988541,0
Snack and Nonalcoholic Beverage Bars,Accommodation and Food Services,722515,120,0.46299383,0
"Automotive Body, Paint, and Interior Repair and Maintenance",Other Services,811121,39,0.45349211,0
Offices of Real Estate Agents and Brokers,Real Estate and Rental and Leasing,531210,43,0.39806619,0
Labor Unions and Similar Labor Organizations,Other Services,813930,23,0.39768198,0
Engineering Services,"Professional, Scientific, and Technical Services",541330,154,0.39102089,0
Residential Remodelers,Construction,236118,46,0.38864368,0
Other Personal Care Services,Other Services,812199,17,0.36967522,0
Civic and Social Organizations,Other Services,813410,29,0.32878765,0
Automotive Oil Change and Lubrication Shops,Other Services,811192,16,0.26963884,0
Fitness and Recreational Sports Centers,"Arts, Entertainment, and Recreation",713940,64,0.24834199,0
Wholesale Trade Agents and Brokers,Wholesale Trade,425120,21,0.19984896,0
Masonry Contractors,Construction,238140,6,0.12775047,0
Medical Laboratories,Health Care and Social Assistance,621511,4,0.08365979,0
Office Administrative Services,Administrative and Suppost and Waste Management and Remediation Services,561110,6,0.036008924,0
Drinking Places (Alcoholic Beverages),Accommodation and Food Services,722410,5,0.034225754,0
