key,category,value
Lessors of Residential Buildings and Dwellings,Real Estate and Rental and Leasing,0.68799752
Offices of Lawyers,"Professional, Scientific, and Technical Services",0.68387753
New Car Dealers,Retail Trade,0.68385863
Fine Arts Schools,Educational Services,0.66773134
Other Heavy and Civil Engineering Construction,Construction,0.63087785
"Plumbing, Heating, and Air-Conditioning Contractors",Construction,0.62594157
Lessors of Miniwarehouses and Self-Storage Units,Real Estate and Rental and Leasing,0.62310529
"Corporate, Subsidiary, and Regional Managing Offices",Management of Companies and Entreprises,0.60920799
Beauty Salons,Other Services,0.6068781
Wired Telecommunications Carriers,Information,0.60339022
Business Associations,Other Services,0.60022569
Real Estate Credit,Finance and Insurance,0.58808935
Other Individual and Family Services,Health Care and Social Assistance,0.58134371
Janitorial Services,Administrative and Suppost and Waste Management and Remediation Services,0.54608309
Other Grocery and Related Products Merchant Wholesalers,Wholesale Trade,0.53353971
Home Health Care Services,Health Care and Social Assistance,0.52988541
Snack and Nonalcoholic Beverage Bars,Accommodation and Food Services,0.46299383
"Automotive Body, Paint, and Interior Repair and Maintenance",Other Services,0.45349211
Offices of Real Estate Agents and Brokers,Real Estate and Rental and Leasing,0.39806619
Labor Unions and Similar Labor Organizations,Other Services,0.39768198
Engineering Services,"Professional, Scientific, and Technical Services",0.39102089
Residential Remodelers,Construction,0.38864368
Other Personal Care Services,Other Services,0.36967522
Civic and Social Organizations,Other Services,0.32878765
Automotive Oil Change and Lubrication Shops,Other Services,0.26963884
Fitness and Recreational Sports Centers,"Arts, Entertainment, and Recreation",0.24834199
Wholesale Trade Agents and Brokers,Wholesale Trade,0.19984896
Masonry Contractors,Construction,0.12775047
Medical Laboratories,Health Care and Social Assistance,0.08365979
Office Administrative Services,Administrative and Suppost and Waste Management and Remediation Services,0.036008924
Drinking Places (Alcoholic Beverages),Accommodation and Food Services,0.034225754
