Market,ENI,City,Area,GDP,PerCapita,Log_GDP,Log_PerCapita
12900,-1.041781739,"Batesville, AR",NA,NA,NA,NA,NA
12940,1.602234755,"Baton Rouge, LA","Baton Rouge, LA (Metropolitan Statistical Area)",51038,61852.62163,4.707893648,4.791358112
12980,0.288162639,"Battle Creek, MI","Battle Creek, MI (Metropolitan Statistical Area)",5480,40599.81034,3.738780558,4.608524005
13020,-0.138228726,"Bay City, MI","Bay City, MI (Metropolitan Statistical Area)",3100,29181.41426,3.491361694,4.465106336
13060,-0.942841767,"Bay City, TX",NA,NA,NA,NA,NA
13100,-1.080458343,"Beatrice, NE",NA,NA,NA,NA,NA
13140,0.925897552,"Beaumont-Port Arthur, TX","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",23904,58962.96808,4.37847058,4.770579337
13180,-0.374699621,"Beaver Dam, WI",NA,NA,NA,NA,NA
13220,-0.118080188,"Beckley, WV","Beckley, WV (Metropolitan Statistical Area)",4654,37690.31422,3.667826379,4.576229758
13260,-0.605790451,"Bedford, IN",NA,NA,NA,NA,NA
13300,-1.10580383,"Beeville, TX",NA,NA,NA,NA,NA
13340,-0.797760748,"Bellefontaine, OH",NA,NA,NA,NA,NA
13380,0.863156841,"Bellingham, WA","Bellingham, WA (Metropolitan Statistical Area)",9626,46206.64827,3.983445857,4.664704467
13420,-0.264110534,"Bemidji, MN",NA,NA,NA,NA,NA
13460,0.822184876,"Bend-Redmond, OR","Bend-Redmond, OR (Metropolitan Statistical Area)",6718,39472.83378,3.82724,4.596298306
13500,-1.426270425,"Bennettsville, SC",NA,NA,NA,NA,NA
13540,-0.117643126,"Bennington, VT",NA,NA,NA,NA,NA
13620,-0.67021074,"Berlin, NH-VT",NA,NA,NA,NA,NA
13660,-0.988193002,"Big Rapids, MI",NA,NA,NA,NA,NA
13700,-0.831287325,"Big Spring, TX",NA,NA,NA,NA,NA
13720,-0.750743518,"Big Stone Gap, VA",NA,NA,NA,NA,NA
13740,0.812314388,"Billings, MT","Billings, MT (Metropolitan Statistical Area)",9480,56855.32479,3.976808337,4.754771145
